,feature_name,word,zwickau,zwickau norm.,london,london norm.,breslau,breslau norm.,zwickau / london,zwickau / breslau,london / breslau,version with higher score
3433,word_counter,bacarte,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3434,word_counter,canis,1,3.72300819061802e-05,3,9.986019572598362e-05,0,0.0,0.3728220402084885,0.0,0.0,london
3435,word_counter,berictum,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3436,word_counter,bocaris,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3437,word_counter,ioacim,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3438,word_counter,fore,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3439,word_counter,dilecta,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3440,word_counter,flos,1,3.72300819061802e-05,0,0.0,1,0.00010094891984655764,0.0,0.368801191362621,0.0,zwickau
3441,word_counter,florum,1,3.72300819061802e-05,0,0.0,1,0.00010094891984655764,0.0,0.368801191362621,0.0,zwickau
3442,word_counter,iesse,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3443,word_counter,pululauit,1,3.72300819061802e-05,0,0.0,1,0.00010094891984655764,0.0,0.368801191362621,0.0,zwickau
3444,word_counter,sinagoga,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3445,word_counter,docenti,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3446,word_counter,traditus,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3447,word_counter,propete,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3448,word_counter,legit,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3449,word_counter,unxerit,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3450,word_counter,hausit,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3451,word_counter,ministrans,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3452,word_counter,matri,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3453,word_counter,precipitare,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3454,word_counter,uertice,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3455,word_counter,oppositi,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3456,word_counter,liniamenta,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3457,word_counter,uescium,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3458,word_counter,transfiguratus,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3459,word_counter,tabernaculorum,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3460,word_counter,claustrorum,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3461,word_counter,desiderium,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3462,word_counter,constructorum,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3463,word_counter,palatiorum,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3464,word_counter,turrium,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3465,word_counter,latitant,1,3.72300819061802e-05,2,6.657346381732241e-05,1,0.00010094891984655764,0.5592330603127328,0.368801191362621,0.6594767325743959,london
3466,word_counter,recedenti,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3467,word_counter,cede,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3468,word_counter,nemini,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3469,word_counter,uisionem,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3470,word_counter,superatus,1,3.72300819061802e-05,0,0.0,1,0.00010094891984655764,0.0,0.368801191362621,0.0,zwickau
3471,word_counter,abarac,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3472,word_counter,aron,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3473,word_counter,biluen,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3474,word_counter,hospitalensium,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3475,word_counter,pitonem,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3476,word_counter,instantiam,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3477,word_counter,samautem,1,3.72300819061802e-05,2,6.657346381732241e-05,1,0.00010094891984655764,0.5592330603127328,0.368801191362621,0.6594767325743959,london
3478,word_counter,uidue,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3479,word_counter,notum,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3480,word_counter,accipitur,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3481,word_counter,betiran,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3482,word_counter,fluxus,1,3.72300819061802e-05,0,0.0,0,0.0,0.0,0.0,1.0,zwickau
3483,word_counter,distent,1,3.72300819061802e-05,1,3.328673190866121e-05,1,0.00010094891984655764,1.1184661206254656,0.368801191362621,0.32973836628719794,zwickau
3484,word_counter,transmitunt,1,3.72300819061802e-05,1,3.328673190866121e-05,0,0.0,1.1184661206254656,0.0,0.0,zwickau
3485,word_counter,mutuo,1,3.72300819061802e-05,2,6.657346381732241e-05,1,0.00010094891984655764,0.5592330603127328,0.368801191362621,0.6594767325743959,london
