,shared_word,version a name,version a count,version b name,version b count
645,lapidatus,london,2,zwickau,2
646,monumenta,london,2,zwickau,1
647,credunt,london,2,zwickau,2
648,secunde,london,2,zwickau,1
649,moabitarum,london,2,zwickau,1
650,ductus,london,2,zwickau,2
651,africum,london,2,zwickau,1
652,pertranseo,london,2,zwickau,3
653,aspalti,london,2,zwickau,1
654,grecus,london,2,zwickau,2
655,regnauit,london,2,zwickau,1
656,subtus,london,2,zwickau,1
657,ueteris,london,2,zwickau,2
658,noui,london,2,zwickau,2
659,lusam,london,2,zwickau,2
660,uxoris,london,2,zwickau,3
661,odium,london,2,zwickau,1
662,colitur,london,2,zwickau,1
663,rigatur,london,2,zwickau,1
664,baptisasse,london,2,zwickau,1
665,balsamum,london,2,zwickau,2
666,coligendi,london,2,zwickau,2
667,boues,london,2,zwickau,2
668,trahunt,london,2,zwickau,2
669,meridie,london,2,zwickau,2
670,lune,london,2,zwickau,2
671,lignum,london,2,zwickau,1
672,palmas,london,2,zwickau,1
673,clibani,london,2,zwickau,1
674,decens,london,2,zwickau,1
675,miraculum,london,2,zwickau,1
676,uidentes,london,2,zwickau,2
677,continuo,london,2,zwickau,1
678,precedentibus,london,2,zwickau,1
679,sequentibus,london,2,zwickau,1
680,manente,london,2,zwickau,1
681,ampliata,london,2,zwickau,1
682,continue,london,2,zwickau,1
683,semicirculum,london,2,zwickau,1
684,semicirculi,london,2,zwickau,1
685,leguntur,london,2,zwickau,2
686,inferiori,london,2,zwickau,5
687,dimissior,london,2,zwickau,1
688,hostias,london,2,zwickau,2
689,anne,london,2,zwickau,2
690,interior,london,2,zwickau,2
691,arboribus,london,2,zwickau,2
692,capta,london,2,zwickau,2
693,cetero,london,2,zwickau,1
694,adrianus,london,2,zwickau,2
695,existenti,london,2,zwickau,1
696,plurimos,london,2,zwickau,2
697,concaue,london,2,zwickau,2
698,manuum,london,2,zwickau,1
699,anacot,london,2,zwickau,1
700,helene,london,2,zwickau,2
701,apertura,london,2,zwickau,1
702,cripta,london,2,zwickau,2
703,adiuncta,london,2,zwickau,2
704,exterius,london,2,zwickau,3
705,nuda,london,2,zwickau,1
706,intrantis,london,2,zwickau,2
707,parietem,london,2,zwickau,2
708,grisei,london,2,zwickau,2
709,pauimenti,london,2,zwickau,2
710,palmis,london,2,zwickau,2
711,mulieres,london,2,zwickau,3
712,spelunce,london,2,zwickau,3
713,scissio,london,2,zwickau,2
714,petre,london,2,zwickau,2
715,auro,london,2,zwickau,1
716,agrippa,london,2,zwickau,1
717,adherent,london,2,zwickau,1
718,prospectum,london,2,zwickau,4
719,sublimi,london,2,zwickau,1
720,inueni,london,2,zwickau,3
721,adducebantur,london,2,zwickau,2
722,negotiatorum,london,2,zwickau,1
723,beteron,london,2,zwickau,1
724,martirum,london,2,zwickau,2
725,sepeliuit,london,2,zwickau,1
726,tangere,london,2,zwickau,1
727,meretrix,london,2,zwickau,1
728,gratiam,london,2,zwickau,1
729,exemplum,london,2,zwickau,1
730,mortali,london,2,zwickau,1
731,ueritatem,london,2,zwickau,1
732,salomon,london,2,zwickau,3
733,altitudinis,london,2,zwickau,1
734,regine,london,2,zwickau,3
735,federis,london,2,zwickau,1
736,diospolim,london,2,zwickau,1
737,obsedit,london,2,zwickau,1
738,atamen,london,2,zwickau,1
739,mortua,london,2,zwickau,1
740,plebis,london,2,zwickau,1
741,uidissent,london,2,zwickau,1
742,ramula,london,2,zwickau,1
743,uideretur,london,2,zwickau,1
744,ueri,london,2,zwickau,2
745,cantantes,london,2,zwickau,1
746,natum,london,2,zwickau,1
747,mox,london,2,zwickau,1
748,relicta,london,2,zwickau,1
749,propositum,london,2,zwickau,1
750,claustri,london,2,zwickau,2
751,filie,london,2,zwickau,2
752,priuilegium,london,2,zwickau,2
753,excelsa,london,2,zwickau,1
754,acaron,london,2,zwickau,3
755,manbre,london,2,zwickau,1
756,noua,london,2,zwickau,2
757,duplex,london,2,zwickau,2
758,eue,london,2,zwickau,2
759,uirorum,london,2,zwickau,1
760,uisitaui,london,2,zwickau,1
761,portant,london,2,zwickau,1
762,manendum,london,2,zwickau,1
763,simeon,london,2,zwickau,1
764,sacerdotem,london,2,zwickau,2
765,acon,london,2,zwickau,21
766,plurimi,london,2,zwickau,2
767,preside,london,2,zwickau,1
768,assur,london,2,zwickau,2
769,assiriorum,london,2,zwickau,3
770,fuerant,london,2,zwickau,4
771,contrarium,london,2,zwickau,3
772,passim,london,2,zwickau,2
773,lana,london,2,zwickau,3
774,inciduntur,london,2,zwickau,2
