,feature_name,word,zwickau,london,breslau,version with higher score
24187,count_vectorizer_5_gram,t_itu,2,1,0,zwickau
24188,count_vectorizer_5_gram,arand,2,2,0,zwickau
24189,count_vectorizer_5_gram,do_ta,2,3,0,london
24190,count_vectorizer_5_gram,o_tan,2,2,1,zwickau
24191,count_vectorizer_5_gram,r_cor,2,2,0,zwickau
24192,count_vectorizer_5_gram,_coro,2,6,0,london
24193,count_vectorizer_5_gram,rozai,2,0,0,zwickau
24194,count_vectorizer_5_gram,ozaim,2,0,0,zwickau
24195,count_vectorizer_5_gram,zaim_,2,0,0,zwickau
24196,count_vectorizer_5_gram,tur_4,2,4,0,london
24197,count_vectorizer_5_gram,io_ta,2,4,1,london
24198,count_vectorizer_5_gram,n_sta,2,1,1,zwickau
24199,count_vectorizer_5_gram,diens,2,2,3,breslau
24200,count_vectorizer_5_gram,i_ios,2,4,1,london
24201,count_vectorizer_5_gram,m_iab,2,4,1,london
24202,count_vectorizer_5_gram,ctor_,2,2,1,zwickau
24203,count_vectorizer_5_gram,r_exi,2,2,1,zwickau
24204,count_vectorizer_5_gram,t_eos,2,5,2,london
24205,count_vectorizer_5_gram,eos_u,2,2,2,zwickau
24206,count_vectorizer_5_gram,os_us,2,2,1,zwickau
24207,count_vectorizer_5_gram,stiuo,2,2,0,zwickau
24208,count_vectorizer_5_gram,tiuo_,2,2,0,zwickau
24209,count_vectorizer_5_gram,o_mag,2,7,2,london
24210,count_vectorizer_5_gram,usta_,2,2,1,zwickau
24211,count_vectorizer_5_gram,t_leo,2,2,1,zwickau
24212,count_vectorizer_5_gram,et_ur,2,2,0,zwickau
24213,count_vectorizer_5_gram,t_urs,2,2,0,zwickau
24214,count_vectorizer_5_gram,_ursi,2,2,0,zwickau
24215,count_vectorizer_5_gram,ursi_,2,2,0,zwickau
24216,count_vectorizer_5_gram,e_bes,2,0,1,zwickau
24217,count_vectorizer_5_gram,estie,2,2,1,zwickau
24218,count_vectorizer_5_gram,stie_,2,2,2,zwickau
24219,count_vectorizer_5_gram,tie_e,2,1,1,zwickau
24220,count_vectorizer_5_gram,bi_ue,2,4,1,london
24221,count_vectorizer_5_gram,regie,2,2,1,zwickau
24222,count_vectorizer_5_gram,egie_,2,2,1,zwickau
24223,count_vectorizer_5_gram,ie_me,2,1,2,zwickau
24224,count_vectorizer_5_gram,uta_e,2,2,1,zwickau
24225,count_vectorizer_5_gram,a_aut,2,4,3,london
24226,count_vectorizer_5_gram,c_ual,2,2,1,zwickau
24227,count_vectorizer_5_gram,et_ul,2,5,1,london
24228,count_vectorizer_5_gram,ra_fl,2,1,1,zwickau
24229,count_vectorizer_5_gram,fluxu,2,1,0,zwickau
24230,count_vectorizer_5_gram,xum_i,2,1,0,zwickau
24231,count_vectorizer_5_gram,ad_ly,2,3,1,london
24232,count_vectorizer_5_gram,em_bo,2,2,1,zwickau
24233,count_vectorizer_5_gram,sra_q,2,1,0,zwickau
24234,count_vectorizer_5_gram,yr_ap,2,0,0,zwickau
24235,count_vectorizer_5_gram,n_ios,2,2,0,zwickau
