,feature_name,word,zwickau,london,version with higher score
52092,count_vectorizer_6_gram,_ipsa_,35,34,zwickau
52093,count_vectorizer_6_gram,e_ad_m,35,36,london
52094,count_vectorizer_6_gram,tur_qu,35,42,london
52095,count_vectorizer_6_gram,ictum_,35,50,london
52096,count_vectorizer_6_gram,m_et_i,35,55,london
52097,count_vectorizer_6_gram,is_est,35,41,london
52098,count_vectorizer_6_gram,ultra_,35,36,london
52099,count_vectorizer_6_gram,_locum,35,45,london
52100,count_vectorizer_6_gram,locum_,35,45,london
52101,count_vectorizer_6_gram,_post_,34,28,zwickau
52102,count_vectorizer_6_gram,ue_in_,34,32,zwickau
52103,count_vectorizer_6_gram,s_per_,34,36,london
52104,count_vectorizer_6_gram,t_terr,34,28,zwickau
52105,count_vectorizer_6_gram,_posse,34,30,zwickau
52106,count_vectorizer_6_gram,_mari_,34,34,equal
52107,count_vectorizer_6_gram,_et_ca,34,31,zwickau
52108,count_vectorizer_6_gram,_magna,34,35,london
52109,count_vectorizer_6_gram,_huius,34,42,london
52110,count_vectorizer_6_gram,_1_leu,34,31,zwickau
52111,count_vectorizer_6_gram,s_ciui,34,36,london
52112,count_vectorizer_6_gram,_est_m,34,38,london
52113,count_vectorizer_6_gram,castru,34,35,london
52114,count_vectorizer_6_gram,astrum,34,35,london
52115,count_vectorizer_6_gram,_ultra,34,35,london
52116,count_vectorizer_6_gram,in_lat,34,32,zwickau
52117,count_vectorizer_6_gram,_dictu,34,47,london
52118,count_vectorizer_6_gram,dictum,34,49,london
52119,count_vectorizer_6_gram,_potes,34,38,london
52120,count_vectorizer_6_gram,potest,34,38,london
52121,count_vectorizer_6_gram,terre_,33,37,london
52122,count_vectorizer_6_gram,orum_e,33,36,london
52123,count_vectorizer_6_gram,_et_si,33,35,london
52124,count_vectorizer_6_gram,nis_et,33,37,london
52125,count_vectorizer_6_gram,_et_ha,33,31,zwickau
52126,count_vectorizer_6_gram,_est_p,33,34,london
52127,count_vectorizer_6_gram,s_eius,33,39,london
52128,count_vectorizer_6_gram,in_ter,33,30,zwickau
52129,count_vectorizer_6_gram,_per_t,33,37,london
52130,count_vectorizer_6_gram,_quant,33,49,london
52131,count_vectorizer_6_gram,t_per_,33,34,london
52132,count_vectorizer_6_gram,_latit,33,40,london
52133,count_vectorizer_6_gram,atitud,33,38,london
52134,count_vectorizer_6_gram,s_et_i,33,36,london
52135,count_vectorizer_6_gram,tissim,33,30,zwickau
52136,count_vectorizer_6_gram,_est_e,33,35,london
52137,count_vectorizer_6_gram,itur_e,33,46,london
52138,count_vectorizer_6_gram,huius_,33,41,london
52139,count_vectorizer_6_gram,on_et_,33,41,london
52140,count_vectorizer_6_gram,uerunt,33,31,zwickau
52141,count_vectorizer_6_gram,miliar,33,24,zwickau
52142,count_vectorizer_6_gram,rum_es,33,36,london
52143,count_vectorizer_6_gram,_desce,33,42,london
52144,count_vectorizer_6_gram,descen,33,42,london
52145,count_vectorizer_6_gram,ntem_e,32,49,london
52146,count_vectorizer_6_gram,tem_in,32,35,london
52147,count_vectorizer_6_gram,_loca_,32,38,london
52148,count_vectorizer_6_gram,ta_quo,32,29,zwickau
52149,count_vectorizer_6_gram,ibus_i,32,40,london
52150,count_vectorizer_6_gram,_tota_,32,38,london
52151,count_vectorizer_6_gram,n_qua_,32,38,london
52152,count_vectorizer_6_gram,quantu,32,40,london
52153,count_vectorizer_6_gram,_pluri,32,26,zwickau
52154,count_vectorizer_6_gram,latitu,32,38,london
52155,count_vectorizer_6_gram,_omnib,32,35,london
52156,count_vectorizer_6_gram,omnibu,32,35,london
52157,count_vectorizer_6_gram,mnibus,32,35,london
52158,count_vectorizer_6_gram,_circa,32,36,london
52159,count_vectorizer_6_gram,circa_,32,36,london
52160,count_vectorizer_6_gram,ontes_,32,26,zwickau
52161,count_vectorizer_6_gram,pellat,32,43,london
52162,count_vectorizer_6_gram,rdanem,32,33,london
52163,count_vectorizer_6_gram,_est_l,32,36,london
52164,count_vectorizer_6_gram,inde_a,32,21,zwickau
52165,count_vectorizer_6_gram,ducit_,32,27,zwickau
52166,count_vectorizer_6_gram,empore,32,38,london
52167,count_vectorizer_6_gram,mpore_,32,38,london
52168,count_vectorizer_6_gram,m_et_s,31,32,london
52169,count_vectorizer_6_gram,ibus_p,31,28,zwickau
52170,count_vectorizer_6_gram,habent,31,31,equal
52171,count_vectorizer_6_gram,n_terr,31,30,zwickau
