original_word,variants,variants_count
antiocia,"[('antiociam', 1)]",1
modicis,"[('modicus', 1)]",1
paralipomeni,"[('paralippomeni', 1)]",1
campus,"[('campis', 1), ('campum', 1), ('campos', 1)]",3
distant,"[('distans', 1), ('distent', 1), ('distat', 1)]",3
inmeabilis,"[('imeabilis', 1)]",1
greci,"[('grece', 1)]",1
cito,"[('scito', 1)]",1
tabule,"[('tabula', 1)]",1
botros,"[('botrus', 1), ('botris', 1)]",2
secunda,"[('secundo', 1), ('secundam', 1), ('secunde', 1)]",3
maria,"[('marina', 1), ('maris', 1), ('marie', 1), ('moria', 1), ('mariam', 1), ('mari', 1)]",6
spetialis,"[('spetiali', 1)]",1
maxim,"[('maximo', 1), ('maxime', 1), ('maxima', 1)]",3
rupis,"[('rupes', 1), ('rupi', 1)]",2
ducebat,"[('dicebat', 1)]",1
istis,"[('isti', 1), ('istas', 1), ('istos', 1)]",3
propete,"[('propeta', 1)]",1
opidum,"[('oppidum', 1)]",1
patriarca,"[('patriarce', 1)]",1
puteum,"[('puteus', 1)]",1
album,"[('albam', 1), ('alium', 1), ('altum', 1)]",3
patre,"[('patrem', 1), ('petre', 1), ('patres', 1)]",3
agro,"[('agros', 1), ('auro', 1)]",2
india,"[('indi', 1), ('indie', 1), ('indiam', 1)]",3
regio,"[('regno', 1), ('regia', 1), ('legio', 1), ('regi', 1), ('regis', 1), ('regie', 1)]",6
reliquo,"[('reliqui', 1)]",1
filie,"[('filia', 1), ('filio', 1), ('filii', 1)]",3
minere,"[('minore', 1)]",1
giardini,"[('iardini', 1)]",1
