original_word,variants,variants_count
positas,"[('posita', 1)]",1
tamem,"[('tamen', 1)]",1
mages,"[('magis', 1)]",1
fuerit,"[('fuerint', 1), ('fuerat', 1)]",2
ecclesiis,"[('ecclesias', 1)]",1
prima,"[('prime', 1), ('primam', 1), ('primo', 1)]",3
ingenium,"[('ingennium', 1)]",1
gasam,"[('gasa', 1)]",1
tribus,"[('tribu', 1), ('tribui', 1)]",2
possem,"[('possum', 1), ('posse', 1), ('posset', 1)]",3
quoddam,"[('quodam', 1), ('quondam', 1)]",2
lacis,"[('lacus', 1), ('locis', 1), ('lapis', 1)]",3
monte,"[('fonte', 1), ('montes', 1), ('montem', 1), ('monti', 1)]",4
semini,"[('nemini', 1)]",1
mira,"[('mirat', 1)]",1
antiquam,"[('antiquum', 1), ('antiqua', 1)]",2
aquilonari,"[('aquilonaris', 1)]",1
aqua,"[('aquam', 1), ('aque', 1), ('aquas', 1), ('qua', 1)]",4
turbas,"[('turba', 1)]",1
secundam,"[('secunda', 1), ('secundum', 1)]",2
carmelo,"[('carmeli', 1)]",1
uersa,"[('tersa', 1), ('uera', 1)]",2
quadam,"[('quodam', 1), ('quidam', 1), ('quandam', 1), ('quedam', 1)]",4
pedem,"[('pede', 1), ('pelem', 1), ('pedes', 1), ('pedum', 1)]",4
possint,"[('possent', 1), ('possit', 1), ('possunt', 1)]",3
modicam,"[('modicum', 1), ('modica', 1)]",2
patri,"[('patris', 1), ('petri', 1), ('patria', 1)]",3
dominus,"[('dominum', 1), ('domius', 1)]",2
passione,"[('passionem', 1)]",1
piscinam,"[('piscinan', 1), ('piscinas', 1), ('piscina', 1)]",3
laoditiam,"[('laoditia', 1)]",1
piscina,"[('piscinan', 1), ('piscinas', 1), ('piscinam', 1), ('piscine', 1)]",4
sumi,"[('sui', 1)]",1
quorum,"[('quarum', 1), ('duorum', 1)]",2
sindone,"[('sidone', 1)]",1
occidentali,"[('occidentalis', 1), ('occidentale', 1)]",2
natus,"[('latus', 1)]",1
paran,"[('aran', 1)]",1
medio,"[('medi', 1), ('media', 1)]",2
posse,"[('possem', 1), ('posset', 1)]",2
tobia,"[('tobie', 1)]",1
uiam,"[('uia', 1), ('uniam', 1), ('unam', 1), ('iam', 1)]",4
area,"[('arena', 1), ('aurea', 1), ('aream', 1), ('arca', 1)]",4
munitum,"[('munitus', 1)]",1
panum,"[('parum', 1), ('panem', 1)]",2
nobo,"[('nebo', 1), ('nouo', 1)]",2
ierico,"[('lerico', 1)]",1
habentes,"[('habentem', 1)]",1
habet,"[('habent', 1)]",1
siri,"[('siris', 1), ('sibi', 1), ('sirie', 1), ('siria', 1), ('tiri', 1)]",5
aggredior,"[('aggrediar', 1)]",1
magnas,"[('magnus', 1), ('magnam', 1), ('magnos', 1), ('magna', 1)]",4
medi,"[('medio', 1), ('media', 1)]",2
alius,"[('alias', 1), ('aliis', 1), ('ilius', 1), ('aliud', 1)]",4
nabot,"[('rabot', 1), ('nabat', 1)]",2
sidon,"[('sidone', 1), ('sion', 1)]",2
gion,"[('sion', 1)]",1
nostre,"[('nostri', 1)]",1
tegitur,"[('legitur', 1)]",1
acile,"[('facile', 1)]",1
celeberaui,"[('celebraui', 1)]",1
iudee,"[('iudea', 1), ('iudei', 1)]",2
omnibs,"[('omnis', 1), ('omnibus', 1)]",2
essem,"[('esset', 1), ('esse', 1)]",2
tuli,"[('tali', 1), ('nuli', 1)]",2
abir,"[('dabir', 1)]",1
patria,"[('patris', 1), ('patri', 1)]",2
aream,"[('area', 1), ('aram', 1)]",2
eadem,"[('easdem', 1), ('eandem', 1), ('eidem', 1), ('eodem', 1)]",4
dulcis,"[('dulcius', 1)]",1
montes,"[('monte', 1), ('fontes', 1), ('montem', 1), ('montis', 1)]",4
mare,"[('marie', 1), ('marte', 1), ('mari', 1)]",3
salim,"[('salis', 1)]",1
mortuum,"[('mortuus', 1)]",1
leuci,"[('leucis', 1), ('leuce', 1), ('leuca', 1)]",3
estimare,"[('estimari', 1)]",1
becgar,"[('betgar', 1)]",1
turres,"[('turris', 1), ('turre', 1)]",2
sita,"[('site', 1), ('sit', 1), ('ita', 1), ('sitas', 1)]",4
apparent,"[('apparet', 1)]",1
sione,"[('sidone', 1), ('sion', 1)]",2
campestris,"[('campestria', 1)]",1
caluaria,"[('caluarie', 1)]",1
modum,"[('rodum', 1)]",1
salutem,"[('saltem', 1)]",1
sacti,"[('sancti', 1)]",1
plagam,"[('plagas', 1), ('planam', 1)]",2
orientalem,"[('orientale', 1)]",1
ideo,"[('idem', 1), ('ides', 1), ('deo', 1), ('uideo', 1)]",4
sarracenos,"[('sarracenis', 1)]",1
militia,"[('militie', 1), ('cilitia', 1)]",2
ipsius,"[('ipsis', 1)]",1
occidenti,"[('occidentis', 1), ('occidente', 1)]",2
duobus,"[('duabus', 1)]",1
possent,"[('possint', 1), ('possunt', 1), ('posset', 1)]",3
bostron,"[('boston', 1)]",1
florum,"[('forum', 1)]",1
aliquantulum,"[('aliquatulum', 1)]",1
cedes,"[('cades', 1), ('cenes', 1), ('sedes', 1), ('codes', 1), ('cede', 1), ('pedes', 1)]",6
descendebat,"[('descendebant', 1)]",1
