,feature_name,p_#,cross/inner,mean,std,min,25%,50%,75%,max,# of 0 similarities,p_length,most_similar_p_#,most_similar_score,most_similar_p_length,most_similar_dropped,version
413,5_gram,91,cross,0.018362717995697407,0.01688480158229859,0.0,0.006884412995814573,0.012998906105667849,0.025594494254824064,0.09772621246956571,17,52,74,0.09772621246956571,1014,False,zwickau
91,5_gram,91,inner,0.02121545737392734,0.023111117916199755,0.0,0.0068986307700906295,0.013273550772486202,0.025892684556349205,0.1398301354964549,18,52,240,0.1398301354964549,205,,zwickau
92,5_gram,92,inner,0.013813512493558016,0.0209296886140446,0.0,0.0032819381574145665,0.00861435185410538,0.017413685452130283,0.231726739470103,19,77,127,0.231726739470103,141,,zwickau
414,5_gram,92,cross,0.013886452391562039,0.023095355147196704,0.0,0.003400809552295971,0.009183059049800605,0.01660907698464857,0.32296305835808514,16,77,86,0.32296305835808514,462,False,zwickau
415,5_gram,93,cross,0.029438400683271183,0.032493631875664994,0.0,0.01579217271431337,0.02528140692091025,0.03613703267833801,0.5230342066890811,2,314,86,0.5230342066890811,462,False,zwickau
93,5_gram,93,inner,0.026793825499321234,0.01832646812627178,0.0,0.014943094820712773,0.02342415776717276,0.035613607668458676,0.18333415552265278,6,314,92,0.18333415552265278,77,,zwickau
416,5_gram,94,cross,0.03362204367395136,0.03387038058603679,0.0020483342940190493,0.01904995612848289,0.02914427873023285,0.04065011091365173,0.543295330884757,0,431,87,0.543295330884757,572,False,zwickau
94,5_gram,94,inner,0.03090071497408894,0.01909379921551521,0.0,0.017542233097857962,0.02771632641762483,0.03913912206189563,0.13062676217976923,1,431,95,0.13062676217976923,692,,zwickau
417,5_gram,95,cross,0.040459971883554,0.02336688715160861,0.003260505125656719,0.023984757075854027,0.035804219812828816,0.05308089430020587,0.17336056154950227,0,692,194,0.17336056154950227,859,True,zwickau
95,5_gram,95,inner,0.03829665754682576,0.02497793681604506,0.001599383777801687,0.022312197172994746,0.033323292844843914,0.048492919751951524,0.1873283522228529,0,692,171,0.1873283522228529,796,,zwickau
418,5_gram,96,cross,0.030650625374033253,0.022685137304909037,0.0,0.01638550554393577,0.02682802142443233,0.04162438188077594,0.28062481680945184,1,184,89,0.28062481680945184,456,False,zwickau
96,5_gram,96,inner,0.027608107841400133,0.017893811942578487,0.0,0.015083913758490457,0.024321631186360326,0.03713671804686977,0.12803984384988254,4,184,58,0.12803984384988254,687,,zwickau
419,5_gram,97,cross,0.027286242668632922,0.016806708348734666,0.0,0.015371536811963005,0.02470889874661432,0.0345854959810472,0.1097969407858638,1,251,274,0.1097969407858638,1674,True,zwickau
97,5_gram,97,inner,0.025346923947122485,0.017701330333314554,0.0007607588662913867,0.012148366013526856,0.02243654808615726,0.033532864186392494,0.10982942649635988,0,251,56,0.10982942649635988,283,,zwickau
420,5_gram,98,cross,0.03402603433103946,0.03022962802745228,0.0,0.01790688942342364,0.029019415185005712,0.04239912005592403,0.4116857682195298,3,158,91,0.4116857682195298,245,False,zwickau
98,5_gram,98,inner,0.030651013379135148,0.02083288065378019,0.0,0.014428785209039922,0.026793801303969616,0.04217593838917693,0.137315672316605,1,158,73,0.137315672316605,618,,zwickau
99,5_gram,99,inner,0.03379299954032661,0.0191428937337405,0.0,0.01963753204200191,0.030639754705024766,0.04361502582827032,0.1113810624033711,1,445,104,0.1113810624033711,313,,zwickau
421,5_gram,99,cross,0.036875143720407864,0.0275346700989811,0.0031986740776536503,0.02212773751110597,0.03193329701265127,0.04595084927354886,0.39359291674497704,0,445,92,0.39359291674497704,1177,False,zwickau
422,5_gram,100,cross,0.027782748222692537,0.027605203757246292,0.0,0.014517321771521615,0.023626432754245714,0.03445223989858551,0.4044883307038077,1,256,93,0.4044883307038077,459,False,zwickau
100,5_gram,100,inner,0.024574968449230208,0.016012064494867157,0.0,0.012517051988450083,0.021495549442712134,0.03232254653537158,0.11941424907228912,2,256,185,0.11941424907228912,883,,zwickau
423,5_gram,101,cross,0.04313843275191125,0.02099614648883039,0.005043574034525933,0.029721137591963345,0.03986568373300575,0.051635666908578425,0.14623475717189727,0,616,97,0.14623475717189727,330,True,zwickau
101,5_gram,101,inner,0.04148161791108175,0.020710889872532907,0.0036487977776785583,0.02733586364210648,0.038510703274793806,0.05121353378785572,0.13377527418752114,0,616,105,0.13377527418752114,1252,,zwickau
424,5_gram,102,cross,0.0225079055759312,0.023690975810150443,0.0,0.011297277556020627,0.017386729211643685,0.026082584828882482,0.28892974565470736,3,184,95,0.28892974565470736,306,False,zwickau
102,5_gram,102,inner,0.02173824365389705,0.01925777825145924,0.0,0.010121870665985425,0.017168461627051122,0.028324878802266886,0.17147998131455852,2,184,103,0.17147998131455852,368,,zwickau
425,5_gram,103,cross,0.02836984486642123,0.0313153392856566,0.0,0.015279949976810864,0.021656026158525313,0.0336010812288691,0.3461613186919425,2,368,95,0.3461613186919425,306,False,zwickau
103,5_gram,103,inner,0.02590592567278951,0.02149380600924846,0.0,0.014924721636001014,0.021968390400516416,0.030795101961597807,0.19721219237323478,2,368,104,0.19721219237323478,313,,zwickau
426,5_gram,104,cross,0.04262699816418197,0.028199966531223693,0.0,0.023984124222969427,0.03697673348386423,0.051817548292383275,0.16031653858050146,2,313,68,0.16031653858050146,343,True,zwickau
104,5_gram,104,inner,0.04036498522853952,0.02699411258732156,0.0,0.021894078855642554,0.034322193584541576,0.0537869091770938,0.19721219237323478,3,313,103,0.19721219237323478,368,,zwickau
105,5_gram,105,inner,0.05326391523500933,0.02975337957314523,0.003865183258409369,0.03442153850786112,0.04683908622114351,0.06527317194839999,0.2085370347121869,0,1252,238,0.2085370347121869,236,,zwickau
427,5_gram,105,cross,0.05424327134049963,0.028464783998297372,0.0,0.03613424563816244,0.049070370343369626,0.0669873719455805,0.22742469135220164,2,1252,95,0.22742469135220164,306,True,zwickau
106,5_gram,106,inner,0.009356463782503125,0.010534930593226337,0.0,0.0019301548182702494,0.006394658010552185,0.012391882829907962,0.061370559964181844,51,76,206,0.061370559964181844,168,,zwickau
428,5_gram,106,cross,0.009954067085124772,0.015616122366764027,0.0,0.0021946959518582554,0.00592762386718664,0.012708059235529472,0.2173537465817167,38,76,99,0.2173537465817167,231,False,zwickau
