,importance,feature
906,5.16570116251277e-05,_del
907,0.0,_delb
908,0.0,_dele
909,5.926066728418739e-05,_deli
910,0.0,_delt
911,0.0,_dem
912,0.0,_demo
913,0.0,_den
914,0.0,_dene
915,0.0,_deni
916,0.0,_denu
917,0.0,_deo
918,0.0,_deo_
919,0.0,_dep
920,0.0,_depe
921,0.0,_depo
922,0.0,_depr
923,0.0,_der
924,0.0,_dere
925,0.00013881885514560163,_des
926,0.00012086594424170504,_desc
927,0.00015605031807889745,_dese
928,0.0,_desi
929,0.0,_dest
930,4.474736524227437e-05,_desu
931,0.0,_det
932,0.0,_dete
933,0.0,_detr
934,0.0,_detu
935,0.0,_deu
936,0.0,_deue
937,0.0,_deum
938,0.0,_deuo
939,0.0,_deus
940,0.0,_deut
941,0.0,_dex
942,0.0,_dext
943,0.00028805952819058796,_di
944,0.0,_dia
945,0.0,_diac
946,0.0,_diam
947,0.0003646436611754175,_dic
948,0.0,_dica
949,0.0,_dice
950,0.0009440257507953001,_dici
951,0.0,_dico
952,0.0002379094723730571,_dict
953,0.0,_dicu
954,1.4459706647927844e-05,_die
955,0.0,_die_
956,0.0,_dieb
957,0.0,_diei
958,5.8616121199327574e-05,_diem
959,0.0,_dies
960,5.240954554792672e-05,_diet
961,0.0,_dif
962,0.0,_dife
963,0.0,_difi
964,0.0,_dig
965,0.0,_digi
966,0.0,_dign
967,0.0,_dii
968,0.0,_dii_
969,0.0,_dil
970,0.0,_dila
971,0.0,_dile
972,5.765636784175082e-05,_dili
973,0.0,_dilu
974,0.00015786446884395755,_dim
975,0.0002890592071130388,_dimi
976,0.0,_dio
977,0.0,_dioc
978,0.0,_dios
979,0.0,_dir
980,0.0,_dire
981,0.0,_diri
982,0.00011912190983098765,_dis
983,0.0,_disc
984,0.00013320911900935182,_disp
985,0.0,_diss
986,0.00014302586312554968,_dist
987,0.0,_diu
988,0.0,_diu_
989,0.0,_diue
990,8.821158440774863e-05,_diui
991,0.0,_diuo
992,5.6297939649913475e-05,_dix
993,0.0,_dixe
994,0.0,_dixi
995,0.0003277396681089582,_do
996,0.0,_doc
997,0.0,_doc_
998,0.0,_doce
999,0.0,_doct
1000,0.0,_docu
1001,0.0002467816277387095,_dom
1002,0.00013865232956705693,_domi
1003,0.0,_domo
1004,7.916997350639254e-05,_domu
1005,0.0,_don
1006,0.0,_done
1007,0.0,_dor
1008,0.0,_dor_
1009,0.0,_dora
1010,0.0,_dorm
1011,0.0,_dorr
1012,0.0,_dot
1013,0.0,_dota
1014,0.0,_dr
1015,0.0,_dra
1016,0.0,_drac
1017,6.448531857189654e-05,_du
1018,9.398339708456767e-05,_dua
1019,0.0,_duar
1020,0.0,_duas
1021,0.0,_dub
1022,0.0,_dubi
1023,6.689804153691155e-05,_duc
1024,0.0,_duce
1025,9.634795659427324e-05,_duci
1026,0.0,_duct
1027,0.0,_ducu
1028,0.0,_due
1029,0.0,_due_
1030,0.0,_dul
1031,0.0,_dulc
1032,0.0,_dum
1033,0.0,_dum_
1034,0.0,_duo
1035,0.0,_duo_
1036,0.0,_duob
1037,3.285835221718476e-05,_duor
1038,0.0,_duos
1039,0.0,_dup
1040,0.0,_dupl
1041,0.0,_dur
1042,0.0,_dura
1043,0.0,_duri
1044,0.0,_dux
1045,0.0,_dux_
1046,0.0,_duxi
1047,0.004147694986262051,_e
1048,0.0,_e_
1049,0.0,_e_r
1050,0.0,_e_re
1051,0.0001850533193590978,_ea
1052,0.0,_ea_
1053,0.0,_ea_a
1054,0.0,_ea_c
1055,0.0,_ea_e
1056,0.0,_ea_f
1057,0.0,_ea_g
1058,0.0,_ea_h
1059,3.3815458792748605e-05,_ea_i
1060,0.0,_ea_n
1061,0.0,_ea_p
1062,0.0,_ea_q
1063,0.0,_ea_s
1064,0.0,_ea_t
1065,0.0,_ea_u
1066,0.0,_ead
1067,0.0,_eade
1068,0.00021924520674922597,_eam
1069,0.00018959488909277265,_eam_
1070,0.0,_ear
1071,0.0,_earu
1072,0.0,_eas
1073,0.0,_eas_
1074,0.0,_easd
1075,0.0,_eb
1076,0.0,_eba
1077,0.0,_ebal
1078,0.0,_ebd
1079,0.0,_ebdo
1080,0.0,_ebe
1081,0.0,_ebel
1082,0.0,_ebi
1083,0.0,_ebif
1084,0.0,_ebr
1085,0.0,_ebro
1086,5.8233301780558025e-05,_ec
1087,9.892611889612477e-05,_ecc
1088,0.0,_ecc_
1089,0.0,_ecce
1090,0.0,_eccl
1091,6.497182688141879e-05,_ed
1092,0.0,_eda
1093,0.0,_edam
1094,0.00014742129071795092,_edi
1095,2.3090974491518588e-05,_edif
1096,0.0,_edis
1097,0.0,_edo
1098,0.0,_edom
1099,0.0001336404987240607,_ef
1100,6.317762377142231e-05,_efe
1101,0.0,_efec
1102,0.0,_efer
1103,0.0,_efi
1104,0.0,_efic
1105,0.0,_efl
1106,0.0,_eflu
1107,4.341412429586528e-05,_efr
1108,0.0,_efra
1109,0.0,_efre
1110,0.0,_efu
1111,0.0,_efus
1112,6.787414299096813e-05,_eg
1113,0.00015718091022558372,_egi
1114,0.00010832362985373156,_egip
1115,9.882350275837704e-05,_ego
1116,0.00013530358959813575,_ego_
1117,3.542056231650286e-05,_egr
1118,0.0,_egre
1119,0.0002091947494132579,_ei
1120,6.101393236676343e-05,_ei_
1121,0.0,_ei_a
1122,5.633126392855928e-05,_ei_c
1123,0.0,_ei_g
1124,0.0,_ei_i
1125,0.0,_ei_p
